,satelite,pais,estado,municipio,bioma,diasemchuv,precipitac,riscofogo,latitude,longitude,frp,datahora_s,geometry,freq_estados,freq_municipio,freq_bio
0,NPP-375,Brasil,RONDONIA,ALTO PARAISO,Amazonia,0.0,6.02,0.06,-9.705041,-63.511448,9.1,2020-01-17 18:36:00,POINT (-63.511448 -9.705041),413,46,11802
1,NPP-375,Brasil,RONDONIA,ALTO PARAISO,Amazonia,0.0,6.07,0.05,-9.703861,-63.51416,11.0,2020-01-17 18:36:00,POINT (-63.51416 -9.703861),413,46,11802
2,NPP-375,Brasil,TOCANTINS,COUTO MAGALHAES,Amazonia,2.0,0.1,0.1,-8.293596,-49.002468,6.9,2020-01-17 16:56:00,POINT (-49.002468 -8.293596),40,11,11802
3,NPP-375,Brasil,TOCANTINS,COUTO MAGALHAES,Amazonia,2.0,0.1,0.09,-8.290073,-49.003025,6.9,2020-01-17 16:56:00,POINT (-49.003025 -8.290073),40,11,11802
4,NPP-375,Brasil,RONDONIA,SAO MIGUEL DO GUAPORE,Amazonia,3.0,0.71,0.39,-11.717759,-62.944763,3.3,2020-01-17 16:55:00,POINT (-62.944763 -11.717759),413,16,11802
5,NPP-375,Brasil,MARANHAO,ITINGA DO MARANHAO,Amazonia,1.0,3.08,0.02,-4.36965,-47.386364,4.3,2020-01-17 16:57:00,POINT (-47.386364 -4.36965),236,49,11802
6,NPP-375,Brasil,MARANHAO,BACABAL,Amazonia,0.0,28.07,0.0,-4.295369,-44.78767,10.3,2020-01-17 16:57:00,POINT (-44.78767 -4.295369),236,2,11802
7,NPP-375,Brasil,MARANHAO,PAULO RAMOS,Amazonia,0.0,0.52,0.02,-4.48193,-45.374767,4.1,2020-01-17 16:57:00,POINT (-45.374767 -4.48193),236,6,11802
8,NPP-375,Brasil,PARA,ABEL FIGUEIREDO,Amazonia,0.0,0.06,0.0,-5.060898,-48.473759,5.9,2020-01-17 16:56:00,POINT (-48.473759 -5.060898),2330,10,11802
9,NPP-375,Brasil,MARANHAO,PAULO RAMOS,Amazonia,0.0,0.51,0.02,-4.480417,-45.376801,2.1,2020-01-17 16:56:00,POINT (-45.376801 -4.480417),236,6,11802
10,NPP-375,Brasil,MARANHAO,ARAME,Amazonia,2.0,0.18,0.04,-5.091431,-46.125221,5.9,2020-01-17 16:56:00,POINT (-46.125221 -5.091431),236,11,11802
11,NPP-375,Brasil,MARANHAO,JOAO LISBOA,Amazonia,1.0,1.45,0.1,-5.333983,-47.184593,5.9,2020-01-17 16:56:00,POINT (-47.184593 -5.333983),236,8,11802
12,NPP-375,Brasil,TOCANTINS,ARAGUATINS,Amazonia,1.0,3.98,0.06,-5.707723,-47.95512,5.3,2020-01-17 16:56:00,POINT (-47.95512 -5.707723),40,7,11802
13,NPP-375,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,0.0,6.3,0.03,-2.082529,-47.100391,5.4,2020-01-17 16:57:00,POINT (-47.100391 -2.082529),2330,29,11802
14,NPP-375,Brasil,PARA,IPIXUNA DO PARA,Amazonia,0.0,29.33,0.0,-2.643482,-47.644119,2.0,2020-01-17 16:57:00,POINT (-47.644119 -2.643482),2330,11,11802
15,NPP-375,Brasil,PARA,BREU BRANCO,Amazonia,0.0,6.5,0.0,-3.707489,-49.469925,5.4,2020-01-17 16:57:00,POINT (-49.469925 -3.707489),2330,18,11802
16,NPP-375,Brasil,PARA,PARAGOMINAS,Amazonia,0.0,6.72,0.01,-3.740111,-48.135563,3.9,2020-01-17 16:57:00,POINT (-48.135563 -3.740111),2330,40,11802
17,NPP-375,Brasil,MARANHAO,ITINGA DO MARANHAO,Amazonia,0.0,1.59,0.01,-3.840292,-46.951828,2.4,2020-01-17 16:57:00,POINT (-46.951828 -3.840292),236,49,11802
18,NPP-375,Brasil,PARA,ULIANOPOLIS,Amazonia,0.0,5.51,0.01,-3.755259,-47.280037,5.9,2020-01-17 16:57:00,POINT (-47.280037 -3.755259),2330,45,11802
19,NPP-375,Brasil,PARA,ULIANOPOLIS,Amazonia,1.0,8.04,0.01,-4.008959,-47.254265,4.7,2020-01-17 16:57:00,POINT (-47.254265 -4.008959),2330,45,11802
20,NPP-375,Brasil,PARA,PARAGOMINAS,Amazonia,0.0,6.91,0.01,-3.739354,-48.133156,5.8,2020-01-17 16:57:00,POINT (-48.133156 -3.739354),2330,40,11802
21,NPP-375,Brasil,MARANHAO,PIO XII,Amazonia,0.0,24.88,0.0,-3.933869,-45.041138,5.9,2020-01-17 16:57:00,POINT (-45.041138 -3.933869),236,3,11802
22,NPP-375,Brasil,PARA,RONDON DO PARA,Amazonia,0.0,0.5,0.0,-4.54545,-48.803959,13.0,2020-01-17 16:57:00,POINT (-48.803959 -4.54545),2330,15,11802
23,NPP-375,Brasil,MARANHAO,BOM JARDIM,Amazonia,2.0,0.1,0.1,-4.308172,-46.751118,2.9,2020-01-17 16:57:00,POINT (-46.751118 -4.308172),236,4,11802
24,NPP-375,Brasil,RORAIMA,NORMANDIA,Amazonia,0.0,0.1,1.0,4.028632,-60.407776,4.8,2020-01-17 17:00:00,POINT (-60.407776 4.028632),4378,940,11802
25,NPP-375,Brasil,PARA,MONTE ALEGRE,Amazonia,0.0,1.27,0.07,-1.932387,-54.049961,2.3,2020-01-17 16:58:00,POINT (-54.049961 -1.932387),2330,279,11802
26,NPP-375,Brasil,TOCANTINS,MURICILANDIA,Amazonia,0.0,0.0,0.35,-6.957003,-48.911873,12.3,2020-01-16 17:15:00,POINT (-48.911873 -6.957003),40,5,11802
27,NPP-375,Brasil,TOCANTINS,MURICILANDIA,Amazonia,0.0,0.0,0.35,-6.959679,-48.908543,22.0,2020-01-16 17:15:00,POINT (-48.908543 -6.959679),40,5,11802
28,NPP-375,Brasil,TOCANTINS,MURICILANDIA,Amazonia,0.0,0.0,0.36,-6.961854,-48.911068,12.3,2020-01-16 17:15:00,POINT (-48.911068 -6.961854),40,5,11802
29,NPP-375,Brasil,ACRE,SENA MADUREIRA,Amazonia,2.0,0.0,0.09,-9.424947,-68.571228,6.0,2020-01-16 18:55:00,POINT (-68.571228 -9.424947),148,11,11802
30,NPP-375,Brasil,PARA,SANTAREM,Amazonia,1.0,9.31,0.04,-2.578103,-54.591873,5.7,2020-01-16 17:16:00,POINT (-54.591873 -2.578103),2330,99,11802
31,NPP-375,Brasil,PARA,ULIANOPOLIS,Amazonia,0.0,2.3,0.0,-3.815287,-47.214645,11.9,2020-01-16 17:16:00,POINT (-47.214645 -3.815287),2330,45,11802
32,NPP-375,Brasil,MARANHAO,CENTRO NOVO DO MARANHAO,Amazonia,0.0,0.91,0.01,-3.858801,-46.942093,4.4,2020-01-16 17:16:00,POINT (-46.942093 -3.858801),236,4,11802
33,NPP-375,Brasil,RONDONIA,VALE DO ANARI,Amazonia,1.0,24.96,0.0,-9.655046,-62.095612,3.9,2020-01-16 17:15:00,POINT (-62.095612 -9.655046),413,3,11802
34,NPP-375,Brasil,RONDONIA,VALE DO ANARI,Amazonia,1.0,24.08,0.0,-9.650724,-62.096249,4.8,2020-01-16 17:15:00,POINT (-62.096249 -9.650724),413,3,11802
35,NPP-375,Brasil,RONDONIA,ARIQUEMES,Amazonia,0.0,2.54,0.01,-9.868846,-63.549206,3.3,2020-01-16 17:15:00,POINT (-63.549206 -9.868846),413,8,11802
36,NPP-375,Brasil,RONDONIA,MACHADINHO D'OESTE,Amazonia,1.0,16.99,0.0,-9.353266,-62.214439,6.9,2020-01-16 17:15:00,POINT (-62.214439 -9.353266),413,11,11802
37,NPP-375,Brasil,RONDONIA,ARIQUEMES,Amazonia,0.0,2.59,0.02,-9.873647,-63.548615,9.9,2020-01-16 17:15:00,POINT (-63.548615 -9.873647),413,8,11802
38,NPP-375,Brasil,PARA,RIO MARIA,Amazonia,1.0,0.48,0.33,-7.207542,-49.628853,10.7,2020-01-16 17:15:00,POINT (-49.628853 -7.207542),2330,12,11802
39,NPP-375,Brasil,MARANHAO,SAO FRANCISCO DO BREJAO,Amazonia,0.0,0.0,0.01,-5.215017,-47.22567,2.4,2020-01-16 17:15:00,POINT (-47.22567 -5.215017),236,3,11802
40,NPP-375,Brasil,RONDONIA,JARU,Amazonia,1.0,4.18,0.05,-10.704229,-62.728054,4.9,2020-01-16 17:14:00,POINT (-62.728054 -10.704229),413,7,11802
41,NPP-375,Brasil,RONDONIA,PIMENTA BUENO,Amazonia,2.0,5.59,0.15,-11.72403,-61.340084,4.7,2020-01-16 17:14:00,POINT (-61.340084 -11.72403),413,14,11802
42,NPP-375,Brasil,RONDONIA,CABIXI,Amazonia,2.0,12.37,0.0,-13.476785,-60.8181,6.3,2020-01-16 17:14:00,POINT (-60.8181 -13.476785),413,12,11802
43,NPP-375,Brasil,RONDONIA,PIMENTEIRAS DO OESTE,Amazonia,1.0,5.73,0.01,-13.487074,-60.998447,6.7,2020-01-16 17:14:00,POINT (-60.998447 -13.487074),413,18,11802
44,NPP-375,Brasil,MATO GROSSO,COMODORO,Amazonia,1.0,16.05,0.0,-13.649625,-59.594727,8.7,2020-01-16 17:13:00,POINT (-59.594727 -13.649625),2983,73,11802
45,NPP-375,Brasil,MATO GROSSO,COMODORO,Amazonia,1.0,15.86,0.0,-13.650291,-59.599686,8.7,2020-01-16 17:13:00,POINT (-59.599686 -13.650291),2983,73,11802
46,NPP-375,Brasil,MATO GROSSO,COMODORO,Amazonia,1.0,15.8,0.0,-13.646395,-59.600182,8.7,2020-01-16 17:13:00,POINT (-59.600182 -13.646395),2983,73,11802
47,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,2.0,3.31,0.11,-14.395909,-60.2104,4.3,2020-01-16 17:13:00,POINT (-60.2104 -14.395909),2983,432,11802
48,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,1.0,3.31,0.36,-15.195622,-59.550499,20.2,2020-01-16 17:13:00,POINT (-59.550499 -15.195622),2983,432,11802
49,NPP-375,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,0.0,3.21,0.44,-15.51589,-59.208336,28.6,2020-01-16 17:13:00,POINT (-59.208336 -15.51589),2983,131,11802
50,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,2.0,0.2,0.73,-15.864294,-60.057697,8.5,2020-01-16 17:13:00,POINT (-60.057697 -15.864294),2983,432,11802
51,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,2.0,0.2,0.73,-15.864779,-60.061493,6.1,2020-01-16 17:13:00,POINT (-60.061493 -15.864779),2983,432,11802
52,NPP-375,Brasil,MATO GROSSO,NOVA LACERDA,Amazonia,0.0,6.58,0.06,-14.564596,-59.740913,11.0,2020-01-16 17:13:00,POINT (-59.740913 -14.564596),2983,57,11802
53,NPP-375,Brasil,MATO GROSSO,NOVA LACERDA,Amazonia,2.0,1.56,0.12,-14.316715,-60.046562,7.9,2020-01-16 17:13:00,POINT (-60.046562 -14.316715),2983,57,11802
54,NPP-375,Brasil,MATO GROSSO,CONQUISTA D'OESTE,Amazonia,0.0,9.11,0.03,-14.631534,-59.561123,8.3,2020-01-16 17:13:00,POINT (-59.561123 -14.631534),2983,1,11802
55,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,1.0,3.28,0.36,-15.193624,-59.54808,8.6,2020-01-16 17:13:00,POINT (-59.54808 -15.193624),2983,432,11802
56,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,1.0,3.26,0.34,-15.197589,-59.54755,8.6,2020-01-16 17:13:00,POINT (-59.54755 -15.197589),2983,432,11802
57,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,1.0,3.34,0.33,-15.198252,-59.552753,8.6,2020-01-16 17:13:00,POINT (-59.552753 -15.198252),2983,432,11802
58,NPP-375,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,1.0,3.26,0.36,-15.199589,-59.54998,6.0,2020-01-16 17:13:00,POINT (-59.54998 -15.199589),2983,432,11802
59,NPP-375,Brasil,ACRE,XAPURI,Amazonia,2.0,0.0,0.01,-10.513255,-68.374535,2.5,2020-01-16 18:55:00,POINT (-68.374535 -10.513255),148,7,11802
60,NPP-375,Brasil,AMAZONAS,ALVARAES,Amazonia,0.0,1.65,0.1,-3.159381,-64.965202,22.1,2020-01-16 17:17:00,POINT (-64.965202 -3.159381),1254,16,11802
61,NPP-375,Brasil,AMAPA,SERRA DO NAVIO,Amazonia,0.0,4.9,0.03,1.215253,-52.378952,0.7,2020-01-16 17:17:00,POINT (-52.378952 1.215253),20,1,11802
62,NPP-375,Brasil,PARA,PRAINHA,Amazonia,1.0,11.56,0.01,-2.230173,-53.576633,13.2,2020-01-16 17:16:00,POINT (-53.576633 -2.230173),2330,139,11802
63,NPP-375,Brasil,PARA,ABAETETUBA,Amazonia,0.0,11.8,0.0,-1.696525,-48.741371,3.8,2020-01-16 17:16:00,POINT (-48.741371 -1.696525),2330,3,11802
64,NPP-375,Brasil,PARA,ABAETETUBA,Amazonia,1.0,16.32,0.0,-1.725424,-48.818459,2.6,2020-01-16 17:16:00,POINT (-48.818459 -1.725424),2330,3,11802
65,NPP-375,Brasil,MARANHAO,CENTRAL DO MARANHAO,Amazonia,-999.0,0.0,0.11,-2.219405,-44.824654,6.2,2020-01-16 17:16:00,POINT (-44.824654 -2.219405),236,4,11802
66,NPP-375,Brasil,PARA,ABAETETUBA,Amazonia,0.0,11.38,0.0,-1.691172,-48.742176,3.8,2020-01-16 17:16:00,POINT (-48.742176 -1.691172),2330,3,11802
67,NPP-375,Brasil,PARA,ULIANOPOLIS,Amazonia,0.0,2.44,0.0,-4.02625,-47.82716,9.0,2020-01-16 17:16:00,POINT (-47.82716 -4.02625),2330,45,11802
68,NPP-375,Brasil,PARA,SANTAREM,Amazonia,0.0,7.04,0.28,-2.629499,-54.772316,4.3,2020-01-16 17:16:00,POINT (-54.772316 -2.629499),2330,99,11802
69,NPP-375,Brasil,MARANHAO,CENTRO NOVO DO MARANHAO,Amazonia,0.0,0.92,0.01,-3.858363,-46.94215,3.8,2020-01-16 17:16:00,POINT (-46.94215 -3.858363),236,4,11802
70,NPP-375,Brasil,MARANHAO,ITINGA DO MARANHAO,Amazonia,2.0,0.3,0.0,-4.194922,-47.249279,2.2,2020-01-16 17:16:00,POINT (-47.249279 -4.194922),236,49,11802
71,NPP-375,Brasil,PARA,SANTAREM,Amazonia,0.0,7.19,0.27,-2.627663,-54.77256,2.7,2020-01-16 17:16:00,POINT (-54.77256 -2.627663),2330,99,11802
72,NPP-375,Brasil,PARA,PRAINHA,Amazonia,1.0,11.65,0.02,-2.228472,-53.578857,9.5,2020-01-16 17:16:00,POINT (-53.578857 -2.228472),2330,139,11802
73,NPP-375,Brasil,PARA,RONDON DO PARA,Amazonia,0.0,4.58,0.0,-4.602934,-48.919449,4.6,2020-01-16 17:15:00,POINT (-48.919449 -4.602934),2330,15,11802
74,NPP-375,Brasil,PARA,BREU BRANCO,Amazonia,0.0,8.29,0.0,-3.99636,-49.205742,4.4,2020-01-16 17:16:00,POINT (-49.205742 -3.99636),2330,18,11802
75,NPP-375,Brasil,TOCANTINS,ARAGUANA,Amazonia,2.0,0.0,0.2,-6.622965,-48.599064,12.1,2020-01-16 17:15:00,POINT (-48.599064 -6.622965),40,2,11802
76,NPP-375,Brasil,PARA,BREU BRANCO,Amazonia,0.0,8.23,0.0,-3.996869,-49.208988,9.2,2020-01-16 17:16:00,POINT (-49.208988 -3.996869),2330,18,11802
77,NPP-375,Brasil,ACRE,SENA MADUREIRA,Amazonia,2.0,0.0,0.09,-9.42067,-68.569786,5.3,2020-01-16 18:55:00,POINT (-68.569786 -9.42067),148,11,11802
78,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,19.0,0.0,1.0,3.44315,-60.58163,8.5,2020-01-12 16:48:00,POINT (-60.58163 3.44315),4378,575,11802
79,NPP-375,Brasil,RORAIMA,AMAJARI,Amazonia,19.0,0.0,0.9,3.44926,-60.64744,7.5,2020-01-12 16:48:00,POINT (-60.64744 3.44926),4378,182,11802
80,GOES-16,Brasil,RORAIMA,NORMANDIA,Amazonia,15.0,0.0,1.0,3.56,-60.22,,2020-01-12 14:15:53,POINT (-60.22 3.56),4378,940,11802
81,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,19.0,0.0,0.7,3.20995,-61.13716,1.7,2020-01-12 16:48:00,POINT (-61.13716 3.20995),4378,120,11802
82,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,17.0,0.0,1.0,2.6796,-60.81932,5.5,2020-01-12 16:48:00,POINT (-60.81932 2.6796),4378,575,11802
83,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,18.0,0.0,1.0,2.68006,-60.81637,5.5,2020-01-12 16:48:00,POINT (-60.81637 2.68006),4378,575,11802
84,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,18.0,0.0,1.0,2.68053,-60.81342,5.5,2020-01-12 16:48:00,POINT (-60.81342 2.68053),4378,575,11802
85,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,18.0,0.0,1.0,2.74056,-60.75018,1.8,2020-01-12 16:48:00,POINT (-60.75018 2.74056),4378,575,11802
86,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,18.0,0.0,0.9,2.9295,-61.23769,3.2,2020-01-12 16:48:00,POINT (-61.23769 2.9295),4378,120,11802
87,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,18.0,0.0,0.9,2.92999,-61.23459,4.8,2020-01-12 16:48:00,POINT (-61.23459 2.92999),4378,120,11802
88,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,18.0,0.0,0.9,2.93081,-61.23627,5.9,2020-01-12 16:48:00,POINT (-61.23627 2.93081),4378,120,11802
89,NPP-375,Brasil,RORAIMA,BOA VISTA,Amazonia,18.0,0.0,0.7,3.08392,-60.43412,29.3,2020-01-12 16:48:00,POINT (-60.43412 3.08392),4378,575,11802
90,NPP-375,Brasil,RORAIMA,BONFIM,Amazonia,19.0,0.0,0.9,3.08481,-60.42868,106.2,2020-01-12 16:48:00,POINT (-60.42868 3.08481),4378,373,11802
91,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,19.0,0.0,0.6,3.1708,-61.27913,3.0,2020-01-12 16:48:00,POINT (-61.27913 3.1708),4378,120,11802
92,NPP-375,Brasil,PARA,JURUTI,Amazonia,3.0,0.1,0.1,-2.34857,-55.9058,8.6,2020-01-12 16:48:00,POINT (-55.9058 -2.34857),2330,59,11802
93,NPP-375,Brasil,MATO GROSSO,CANARANA,Amazonia,0.0,0.2,0.0,-13.18138,-52.78257,6.5,2020-01-12 16:48:00,POINT (-52.78257 -13.18138),2983,85,11802
94,NPP-375,Brasil,MATO GROSSO,CANARANA,Amazonia,0.0,0.1,0.0,-13.18202,-52.78719,6.5,2020-01-12 16:48:00,POINT (-52.78719 -13.18202),2983,85,11802
95,NPP-375,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Amazonia,3.0,0.3,0.6,-13.20664,-56.82889,4.3,2020-01-12 16:48:00,POINT (-56.82889 -13.20664),2983,6,11802
