,focos,municipio
NORMANDIA,940,NORMANDIA
PACARAIMA,650,PACARAIMA
BOA VISTA,575,BOA VISTA
UIRAMUTA,547,UIRAMUTA
VILA BELA DA SANTISSIMA TRINDADE,432,VILA BELA DA SANTISSIMA TRINDADE
CAROEBE,387,CAROEBE
COLNIZA,374,COLNIZA
BONFIM,373,BONFIM
MONTE ALEGRE,279,MONTE ALEGRE
AMAJARI,182,AMAJARI
MOJUI DOS CAMPOS,166,MOJUI DOS CAMPOS
SAO GABRIEL DA CACHOEIRA,156,SAO GABRIEL DA CACHOEIRA
CARACARAI,143,CARACARAI
PRAINHA,139,PRAINHA
PRESIDENTE FIGUEIREDO,139,PRESIDENTE FIGUEIREDO
PONTES E LACERDA,131,PONTES E LACERDA
RORAINOPOLIS,126,RORAINOPOLIS
BRASNORTE,122,BRASNORTE
MARCELANDIA,120,MARCELANDIA
ALTO ALEGRE,120,ALTO ALEGRE
NOVA MARINGA,107,NOVA MARINGA
IRACEMA,104,IRACEMA
ALENQUER,103,ALENQUER
SANTAREM,99,SANTAREM
OBIDOS,98,OBIDOS
PORTO ESPERIDIAO,94,PORTO ESPERIDIAO
BARRA DO BUGRES,92,BARRA DO BUGRES
PORTO VELHO,91,PORTO VELHO
GAUCHA DO NORTE,86,GAUCHA DO NORTE
CANARANA,85,CANARANA
FELIZ NATAL,85,FELIZ NATAL
UNIAO DO SUL,84,UNIAO DO SUL
ITAITUBA,82,ITAITUBA
SENADOR JOSE PORFIRIO,80,SENADOR JOSE PORFIRIO
AUTAZES,76,AUTAZES
COMODORO,73,COMODORO
ORIXIMINA,72,ORIXIMINA
PARANATINGA,72,PARANATINGA
CANTA,68,CANTA
VERA,66,VERA
URUARA,65,URUARA
SAO JOAO DA BALIZA,65,SAO JOAO DA BALIZA
PLACAS,62,PLACAS
MUCAJAI,60,MUCAJAI
BARCELOS,60,BARCELOS
JURUTI,59,JURUTI
ITACOATIARA,58,ITACOATIARA
ALTAMIRA,57,ALTAMIRA
NOVA LACERDA,57,NOVA LACERDA
MANACAPURU,50,MANACAPURU
ITINGA DO MARANHAO,49,ITINGA DO MARANHAO
MEDICILANDIA,49,MEDICILANDIA
BELTERRA,49,BELTERRA
RUROPOLIS,49,RUROPOLIS
SANTA ISABEL DO RIO NEGRO,49,SANTA ISABEL DO RIO NEGRO
LABREA,48,LABREA
ALTO PARAISO,46,ALTO PARAISO
ULIANOPOLIS,45,ULIANOPOLIS
NOVA UBIRATA,44,NOVA UBIRATA
CLAUDIA,42,CLAUDIA
ALMEIRIM,42,ALMEIRIM
QUERENCIA,40,QUERENCIA
UARINI,40,UARINI
PARAGOMINAS,40,PARAGOMINAS
MANAUS,39,MANAUS
ARIPUANA,39,ARIPUANA
SINOP,39,SINOP
SAO LUIZ,38,SAO LUIZ
MANICORE,38,MANICORE
TABAPORA,38,TABAPORA
ITANHANGA,36,ITANHANGA
TAILANDIA,36,TAILANDIA
LAMBARI D'OESTE,34,LAMBARI D'OESTE
CAREIRO DA VARZEA,33,CAREIRO DA VARZEA
CONCEICAO DO ARAGUAIA,32,CONCEICAO DO ARAGUAIA
NOVA OLIMPIA,31,NOVA OLIMPIA
BRASIL NOVO,31,BRASIL NOVO
TARAUACA,31,TARAUACA
ALTA FLORESTA,30,ALTA FLORESTA
GARRAFAO DO NORTE,29,GARRAFAO DO NORTE
JUARA,29,JUARA
PEIXOTO DE AZEVEDO,29,PEIXOTO DE AZEVEDO
SANTA MARIA DAS BARREIRAS,28,SANTA MARIA DAS BARREIRAS
CAREIRO,28,CAREIRO
DENISE,26,DENISE
PORTO DOS GAUCHOS,26,PORTO DOS GAUCHOS
PACAJA,25,PACAJA
MANCIO LIMA,25,MANCIO LIMA
NOVO PROGRESSO,25,NOVO PROGRESSO
RIO PRETO DA EVA,25,RIO PRETO DA EVA
NOVO REPARTIMENTO,24,NOVO REPARTIMENTO
SANTANA DO ARAGUAIA,24,SANTANA DO ARAGUAIA
COARI,23,COARI
PORTO DE MOZ,23,PORTO DE MOZ
SAO FELIX DO ARAGUAIA,23,SAO FELIX DO ARAGUAIA
RIBEIRAO CASCALHEIRA,23,RIBEIRAO CASCALHEIRA
TEFE,23,TEFE
SAO FELIX DO XINGU,22,SAO FELIX DO XINGU
